北角可以做大戲的戲院?,新光戲院
筲箕灣最出名買外賣的街?,東大街
西灣河蒐集電影資料之地?,電影資料館
位於筲箕灣的博物館?,香港海防博物館
灣仔出名的鬼屋?,南固臺
灣仔藍屋最初期是什麼機構?,醫院 (華佗醫院)
旋轉餐廳位於灣仔?,合和中心
午炮在銅鑼灣那一間酒店對出海邊放禮炮?,怡東酒店
香港首間會所?,香港中華基督教青年會
中環哪一條街道以美國電影業命名?,荷李活道
中環外國遊客慕名而來的餐廳酒吧地方?,蘭桂坊
動植物公園另一名稱?,兵頭花園
張愛玲《傾城之戀》以南區那一間舊酒店為背景?,舊淺水灣酒店
薄扶林村每年中秋節晚上都會舉行的儀式?,舞火龍
香港南島最著名的公共屋邨?,華富邨
香港仔最有特色的海上食府?,珍寶海鮮舫
九龍第一條興建的街道，又稱為「金一哩」的是?,彌敦道
請說出西九文化區內現在設有的其中一個藝術及文化場地?,M+展亭
由於通菜街主要販賣衣服及飾物，故又被稱為什麼街?,女人街
油麻地哪座建築物獲得古物諮詢委員會評定為二級歷史建築物?,油麻地戲院
九龍城的暱稱是什麼?,小泰國
重建前九龍城寨公園是什麼?,貧民窟
為什麼慶祝泰國潑水節?,活動慶祝泰國新年和夏季開始
列出在九龍城的三個景點?,"九龍寨城公園,侯王廟,宋皇台"
觀塘有什麼好玩的嗎?,咖啡館，創意活動和室內運動場地
哪個購物中心位於觀塘港鐵站上?,APM
觀塘也有許願樹，在那裡?,鯉魚門公園旁的巨大榕樹
夕陽無限好，在那處看日落最美?,觀塘公眾碼頭
香港最著名的廟宇之一?,黃大仙祠
「_______」是一所佛教女修道所並開放給公眾參觀?,志蓮淨苑
登上「________」的山峰，俯瞰黃大仙及城市全景?,獅子山郊野公園
遊覽香港著名老公屋「_________」，用相機記錄下其彩虹色的外牆?,彩虹邨
邊條街被稱為玩具街?,福榮街
深水埗有一著名麵包廠叫什麼名字?,嘉頓麵包公司
你會在鴨寮街找到什麼?,手機和相機配件
哪一條街售賣時裝配飾?,汝洲街
葵芳為區內的商業中心，區內的大型購物商場有?,新都會廣場
香港哪個貨櫃碼頭被譽為全球十大全球最繁忙的貨櫃碼頭?,葵涌貨櫃碼頭
金山以甚麼動物的蹤跡遍及整個郊野公園最為著名?,猴子
說出其中一個沿金山郊野公園可遊覽的水塘?,九龍水塘
香港荃灣的一座法定古蹟和博物館是?,三棟屋博物館
「圓玄學院」是香港唯一供奉哪三大宗教的寺廟?,儒家、佛教及道教
圓玄學院的「三教大殿」是採用中國北京哪座建築物的形式建造?,天壇
香港最高的山峰是?,大帽山
漫步於海天一色的「________」，享受全方位的休閒度假體驗?,黃金海岸
有千島湖之稱的「_________」，沉浸於綠水藍天之中?,大欖涌水塘
「 」是著名的魚市場，當天捕捉到的魚蝦貝類，到晚上就成了香噴噴的桌上菜?,三聖墟海鮮市場
於「_______」露營，在沙灘上放鬆，在星空下烤肉?,蝴蝶灣公園
「 」是國際公認的重要候鳥棲息點及中轉站。每年有近9萬隻候鳥從中國北方、蒙古及西伯利亞，飛往東南亞及澳洲過冬?,米埔自然保護區
「 」是新界西北部濕地生態系統的窗口。其漫遊徑，觀鳥屋及觀景平台都是非常理想的觀鳥場所?,香港濕地公園
「 」是一個古意盎然的圍村、宗廟，遊客可從這珍貴的歷史古蹟中了解早期香港鄉村的生活文化?,朗屏山文物徑
「 」稱得上是全香港看日落的最佳位置?,白泥
位於粉嶺的「______」是香港著名道教聖地，道觀依山而建，亭台樓閣映襯小橋流水，令人彷彿脫離繁囂的塵世?,蓬瀛仙館
「_____」位於松嶺鄧公祠西面，為該區鄧氏最早創建的圍村。圍門原是北向，由於風水理由而改為東向，門甚窄小，以利防守?,老圍
「________」的所在地為當年英國接管新界時英軍登陸之處?,香港回歸紀念塔
「________」文物徑位於粉嶺，沿路漫遊，可得見圍村風貌及多幢古建築物，為新界五大族之一鄧氏的聚居地?,龍躍頭
科學園最著名地標?,高錕會議中心
記載著丈夫為生計出海捕魚，妻子每天揹著子女走到山上，日夜盼望丈夫歸來的淒美民間故事?,望夫石
香港最長的人工河道，上游是城門水塘，興建原意是把水塘多餘的山水及沙田區的污水排進沙田海?,城門河
建於沙田區山上的 「______」擁有逾半世紀歷史，由月溪法師花上 8 年時間，親手塑造萬餘尊佛像，建成這座香港著名的佛教禪林?,萬佛寺
西貢市及其鄉郊的自然環境至今得以保留原貎，獲「_________」之美譽?,香港後花園
由西貢碼頭沿海而行，有一條以海鮮為主題的步行街?,西貢「海鮮街」
大浪西灣是香港少數未受污染和破壞的天然美景，名列西貢大浪灣的「四灘」之首，有「________」的美譽?,港版馬爾代夫
位於西貢區將軍澳的「________」，是以單車館和公園兩部分組成，但公園內是嚴禁踏單車的?,單車館公園
在「_________」主壩上，看吐露港的日落美景?,船灣淡水湖
船灣郊野公園，一睹「__________」的壯美景觀?,新娘潭瀑布
租一輛單車，從大埔騎至「_______」 ，欣賞沿途風光?,大美督
大埔「_______」，區裡共有200多個蝴蝶品種，當中約80％是香港的本地物種?,鳳園蝴蝶保育區
離島區約由多少個面大小不一的島嶼組成?,二十多個
離區佔地廣闊，大部分人口聚居於哪裡?,東涌新市鎮
要爬上多少石階可來到天壇大佛跟前?,268
「搶包山」於哪一年起恢復舉行?,2005
